"CATEGORY"   "POWER SAVING RATE"  "RAW DATA POWER RATE"   "DMC DATA POWER RATE"
LINK-PHY  24.48  1.95  1.50
LINK-LOCAL-ROUTE  0.00  29.54  30.16
LINK-REMOTE-ROUTE  0.00  29.54  30.16
XBAR-RQST-SLOT  0.00  1.85  1.88
XBAR-RSP-SLOT  19.67  0.45  0.37
VAULT-RQST-SLOT  0.00  29.54  30.16
VAULT-RSP-SLOT  19.43  3.67  3.02
VAULT-CTRL  38.86  0.51  0.32
ROW-ACCESS  19.31  2.95  2.43
TOTAL  2.05  100.00  100.00
